3, 13, 995
3, 13, 995
2, 10, 998
2, 9, 991
2, 9, 991
1, 8, 996
1, 8, 996
2, 7, 997
3, 8, 992
3, 8, 992
9, -5, 996
9, -5, 996
21, -4, 1000
-22, 42, 991
2, 10, 1000
2, 10, 1000
2, 9, 993
2, 9, 995
2, 9, 995
2, 8, 998
2, 8, 998
8, 0, 991
-2, 19, 998
-2, 19, 998
2, 8, 997
4, 4, 993
4, 4, 993
1, 12, 997
1, 12, 997
4, 3, 996
2, 3, 995
2, 3, 995
2, 0, 998
2, 0, 998
10, -11, 991
-,-,-
-8, 263, 816
-18, -99, 688
-18, -99, 688
54, -49, 905
-112, 58, 970
1, 9, 1012
1, 9, 1012
2, 8, 991
2, 8, 990
2, 8, 990
2, 9, 1004
2, 9, 1004
2, 9, 992
1, 9, 995
1, 9, 995
2, 9, 998
2, 9, 998
2, 9, 996
3, 8, 994
3, 8, 994
2, 8, 997
2, 8, 997
2, 9, 997
2, 9, 993
2, 9, 993
2, 9, 999
2, 9, 999
1, 8, 993
2, 9, 995
2, 9, 995
2, 9, 999
2, 9, 999
2, 8, 993
2, 9, 998
2, 9, 998
2, 9, 997
2, 9, 997
1, 8, 993
1, 8, 993
2, 9, 998
2, 9, 994
2, 9, 994
2, 9, 996
2, 9, 996
1, 9, 999
-6, 17, 997
-,-,-
7, 57, 994
51, 238, 726
36, -111, 1125
-10, -7, 1209
-10, -7, 1209
-159, 18, 936
9, 8, 1007
-1, 26, 1004
28, 8, 959
28, 8, 959
10, 2, 1003
10, 2, 998
7, -2, 998
8, 5, 992
8, 5, 992
1, 6, 1007
3, 7, 998
3, 7, 998
3, 9, 998
3, 9, 998
4, 9, 1001
6, 9, 988
6, 9, 988
5, 8, 992
5, 8, 992
3, 9, 998
0, 9, 1001
0, 9, 1001
1, 7, 1001
